,month,outage.start.time,u.s._state,pc.realgsp.state,com.price,anomaly.level,outage.duration,winter_avg_temp,summer_avg_temp
0,7.0,17:00:00,Minnesota,51268,9.18,-0.3,3060.0,-10.9,19.3
1,5.0,18:38:00,Minnesota,53499,9.71,-0.1,1.0,-10.9,19.3
2,10.0,20:00:00,Minnesota,50447,8.19,-1.5,3000.0,-10.9,19.3
3,6.0,04:30:00,Minnesota,51598,9.25,-0.1,2550.0,-10.9,19.3
4,7.0,02:00:00,Minnesota,54431,10.16,1.2,1740.0,-10.9,19.3
5,11.0,15:00:00,Minnesota,50447,8.34,-1.4,1860.0,-10.9,19.3
6,7.0,20:30:00,Minnesota,50447,9.11,-0.9,2970.0,-10.9,19.3
7,6.0,04:00:00,Minnesota,52445,7.22,0.2,3960.0,-10.9,19.3
8,3.0,07:31:00,Minnesota,54431,8.89,0.6,155.0,-10.9,19.3
9,6.0,17:39:00,Minnesota,52479,10.31,-0.2,3621.0,-10.9,19.3
10,6.0,03:00:00,Minnesota,52479,10.31,-0.2,7740.0,-10.9,19.3
11,9.0,19:00:00,Minnesota,52445,7.58,0.0,8880.0,-10.9,19.3
12,7.0,10:00:00,Minnesota,51268,9.18,-0.3,0.0,-10.9,19.3
13,5.0,15:55:00,Minnesota,51268,8.91,-0.4,1322.0,-10.9,19.3
14,6.0,00:00:00,Minnesota,53499,10.53,0.0,60.0,-10.9,19.3
15,6.0,13:54:00,Tennessee,42457,10.36,1.0,19.0,3.9,24.2
16,8.0,13:15:00,Tennessee,41469,10.21,0.3,0.0,3.9,24.2
17,6.0,13:52:00,Tennessee,42457,10.36,1.0,21.0,3.9,24.2
18,4.0,22:44:00,Tennessee,40465,10.1,-0.5,196.0,3.9,24.2
19,2.0,09:00:00,Tennessee,41201,8.3,-1.3,840.0,3.9,24.2
20,1.0,17:00:00,Tennessee,42457,10.1,0.6,935.0,3.9,24.2
21,7.0,19:00:00,Tennessee,41469,10.48,0.1,1260.0,3.9,24.2
22,7.0,13:00:00,Tennessee,42457,10.27,1.2,,3.9,24.2
23,4.0,02:11:00,Tennessee,41642,9.85,-0.2,619.0,3.9,24.2
24,1.0,06:00:00,Tennessee,41955,10.02,-0.5,150.0,3.9,24.2
25,7.0,05:05:00,Tennessee,39220,9.39,0.5,762.0,3.9,24.2
26,6.0,09:46:00,Tennessee,40465,10.29,-0.3,0.0,3.9,24.2
27,4.0,13:00:00,Tennessee,40465,10.1,-0.5,660.0,3.9,24.2
28,6.0,13:06:00,Tennessee,41955,10.79,0.0,1.0,3.9,24.2
29,6.0,15:00:00,Tennessee,41469,10.47,-0.1,2700.0,3.9,24.2
30,6.0,08:47:00,Tennessee,41955,10.79,0.0,1.0,3.9,24.2
31,4.0,14:00:00,Tennessee,40465,10.1,-0.5,4921.0,3.9,24.2
32,5.0,22:51:00,Tennessee,42457,10.15,0.8,95.0,3.9,24.2
33,2.0,08:34:00,Tennessee,42457,10.08,0.5,251.0,3.9,24.2
34,6.0,03:00:00,Tennessee,41955,10.79,0.0,4125.0,3.9,24.2
35,4.0,23:02:00,Tennessee,40465,10.1,-0.5,2550.0,3.9,24.2
36,7.0,15:00:00,Tennessee,43720,,-0.3,,3.9,24.2
37,1.0,16:00:00,Tennessee,41955,10.02,-0.5,1200.0,3.9,24.2
38,3.0,09:05:00,Tennessee,42457,10.03,0.6,310.0,3.9,24.2
39,1.0,19:02:00,Tennessee,41642,10.22,-0.4,2818.0,3.9,24.2
40,4.0,11:47:00,Tennessee,40465,10.1,-0.5,5054.0,3.9,24.2
41,6.0,16:37:00,Tennessee,39220,9.64,0.4,136.0,3.9,24.2
42,3.0,06:40:00,Tennessee,41955,10.86,-0.4,528.0,3.9,24.2
43,1.0,06:00:00,Tennessee,41955,10.02,-0.5,150.0,3.9,24.2
44,4.0,16:33:00,Tennessee,40465,10.1,-0.5,46.0,3.9,24.2
45,6.0,14:54:00,Tennessee,41955,10.79,0.0,1.0,3.9,24.2
46,1.0,04:00:00,Tennessee,41955,10.02,-0.5,1920.0,3.9,24.2
47,4.0,13:36:00,Tennessee,43720,9.64,1.1,,3.9,24.2
48,1.0,21:45:00,Tennessee,39220,10.13,-0.7,32.0,3.9,24.2
49,6.0,13:21:00,Wisconsin,46676,11.31,0.0,,-8.2,19.3
50,1.0,00:30:00,Wisconsin,46676,10.24,-0.5,135.0,-8.2,19.3
51,11.0,16:00:00,Wisconsin,45266,7.71,-0.5,3000.0,-8.2,19.3
52,8.0,14:57:00,Wisconsin,45811,11.34,-0.3,32.0,-8.2,19.3
53,1.0,00:00:00,Wisconsin,46676,10.24,-0.5,108653.0,-8.2,19.3
54,4.0,14:45:00,Wisconsin,46676,10.69,-0.2,8468.0,-8.2,19.3
55,7.0,06:00:00,Wisconsin,43553,7.2,0.1,960.0,-8.2,19.3
