u.s._state,winter_avg_temp,summer_avg_temp
Alabama,8.1,25.9
Alaska,-16.3,11.3
Arizona,6.4,25.6
Arkansas,5.3,26
California,7.9,23
Colorado,-3.4,18.4
Connecticut,-1.9,20.7
Delaware,2.3,23.4
Florida,15.2,27.2
Georgia,8.8,25.9
Hawaii,19.7,22.3
Idaho,-3.7,17.6
Illinois,-2.1,23
Indiana,-1.4,22.4
Iowa,-5.7,22
Kansas,-0.1,24.7
Kentucky,2.2,23.6
Louisiana,10.5,27.3
Maine,-8.4,17.6
Maryland,1.5,22.9
Massachusetts,-2.6,20
Michigan,-5.7,19
Minnesota,-10.9,19.3
Mississippi,8.2,26.4
Missouri,0.2,24.1
Montana,-6,17.9
Nebraska,-3.5,22.1
Nevada,0.1,20.6
New Hampshire,-6.1,18.6
New Jersey,0.6,22.3
New Mexico,2.3,21.9
New York,-4.8,19.2
North Carolina,5.6,24.3
North Dakota,-11,19.2
Ohio,-1.4,21.6
Oklahoma,3.9,26.4
Oregon,1.1,17.6
Pennsylvania,-2,20.3
Rhode Island,-0.3,20.4
South Carolina,7.8,25.8
South Dakota,-6.9,21.1
Tennessee,3.9,24.2
Texas,8.8,27.3
Utah,-2.1,20.9
Vermont,-7,18.4
Virginia,2.7,22.9
Washington,0.6,17.7
West Virginia,0.4,21.2
Wisconsin,-8.2,19.3
Wyoming,-6,17.5
District of Columbia,3.89,21.33333
